               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.7775,               2.418,              1.8984,              0.8225,             0.70648,              0.8145,             0.54891,                   0,                   0,                   0,            0.070044,           0.0033285,           0.0033285
                   1,              1.6254,              1.6054,              1.8061,             0.83276,             0.74975,             0.83414,             0.57195,                   0,                   0,                   0,            0.039879,           0.0064969,           0.0064969
                   2,              1.6501,              1.6104,              1.8381,             0.70122,             0.65118,             0.71324,             0.45765,                   0,                   0,                   0,           0.0095492,           0.0095004,           0.0095004
                   3,              1.6774,              1.6514,               1.863,             0.83496,             0.73655,             0.83806,             0.56903,                   0,                   0,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,              1.6449,              1.5661,              1.8424,              0.8435,             0.75439,             0.84841,             0.58262,                   0,                   0,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,              1.6128,              1.4857,              1.8235,             0.86049,             0.78258,             0.86915,             0.60326,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   6,               1.584,              1.4187,              1.7903,             0.86265,             0.77734,             0.86855,              0.6044,                   0,                   0,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,              1.5557,              1.3682,              1.7773,             0.85808,             0.80207,             0.88378,             0.62561,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   8,              1.5306,              1.3247,               1.756,             0.88447,             0.81143,               0.894,             0.63445,                   0,                   0,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,              1.5187,              1.2883,              1.7417,             0.89189,             0.81628,             0.89671,             0.64611,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  10,              1.4919,              1.2473,              1.7245,             0.89605,             0.82365,              0.9027,             0.64869,                   0,                   0,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,              1.4786,              1.2033,              1.7114,             0.88213,             0.85026,             0.91335,             0.65632,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  12,              1.4602,              1.1885,              1.7008,             0.90785,             0.82423,             0.90829,             0.65747,                   0,                   0,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,              1.4387,              1.1581,               1.688,             0.88608,              0.8488,             0.91459,             0.66709,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  14,              1.4299,              1.1245,              1.6714,             0.89708,             0.84604,             0.91183,             0.66644,                   0,                   0,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,              1.4148,              1.1127,              1.6608,             0.90517,             0.84399,              0.9145,             0.67832,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  16,               1.399,              1.0795,              1.6468,             0.90528,             0.84349,             0.91564,             0.67836,                   0,                   0,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,              1.3805,              1.0579,              1.6399,              0.9144,             0.85572,             0.91878,             0.67996,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  18,              1.3711,              1.0404,              1.6321,             0.89259,             0.85636,             0.91845,             0.68127,                   0,                   0,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,              1.3605,               1.025,              1.6193,             0.91624,             0.85431,             0.92169,             0.68753,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  20,              1.3368,             0.99991,              1.6052,             0.91057,             0.86742,             0.92402,             0.69255,                   0,                   0,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,              1.3286,             0.99199,              1.6013,             0.90814,             0.87146,             0.92307,             0.69239,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  22,              1.3191,             0.96652,              1.5889,             0.90207,             0.86979,             0.92464,             0.69367,                   0,                   0,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,              1.3066,             0.95205,              1.5863,             0.92021,             0.86967,             0.92524,             0.69774,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  24,               1.299,             0.93614,              1.5776,             0.90939,             0.87855,             0.92803,             0.69835,                   0,                   0,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,              1.2831,             0.91811,              1.5737,             0.92307,             0.86445,             0.92654,             0.69903,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  26,              1.2726,             0.90008,              1.5628,              0.9246,                0.87,             0.92856,             0.70387,                   0,                   0,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,              1.2611,             0.89149,              1.5501,             0.91993,             0.87505,             0.93027,              0.7037,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  28,              1.2485,             0.86995,              1.5421,             0.92797,             0.87591,             0.93188,             0.70395,                   0,                   0,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,              1.2429,               0.864,              1.5286,             0.93283,              0.8677,             0.93038,             0.70364,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  30,              1.2316,             0.85488,              1.5274,             0.92326,             0.88063,             0.93169,             0.70675,                   0,                   0,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,               1.213,             0.83848,              1.5142,             0.92371,             0.87285,             0.93156,             0.70669,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  32,              1.2054,             0.82795,              1.5107,             0.92128,             0.88084,             0.93196,             0.70929,                   0,                   0,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,              1.1848,             0.80573,              1.5035,             0.91909,             0.88608,             0.93221,             0.70997,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  34,              1.1769,             0.79166,              1.4933,             0.92178,             0.88196,             0.93278,             0.71053,                   0,                   0,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,              1.0786,             0.58243,              1.5012,             0.92169,             0.87911,             0.93326,             0.71252,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  36,              1.0527,             0.55869,              1.4839,             0.92353,             0.87489,             0.93147,             0.71082,                   0,                   0,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,              1.0364,             0.54816,              1.4752,             0.92802,             0.87164,             0.93151,             0.71206,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  38,              1.0203,             0.53157,              1.4558,             0.93482,             0.86819,             0.93289,             0.71242,                   0,                   0,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,             0.99892,             0.51843,              1.4427,             0.92812,             0.86913,             0.93251,             0.71182,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
